"","ID","Name","CountryCode","District","Population","lon","lat"
"337",547,"Dobric","BGR","Varna",100399,24.1273062,47.2375519
"338",549,"Ouagadougou","BFA","Kadiogo",824000,-1.5196603,12.3714277
"340",552,"Bujumbura","BDI","Bujumbura",3e+05,29.3598782,-3.361378
"341",553,"George Town","CYM","Grand Cayman",19600,-77.0653565,38.9097057
"342",554,"Santiago de Chile","CHL","Santiago",4703954,-70.6692655,-33.4488897
"343",555,"Puente Alto","CHL","Santiago",386236,-70.5906057,-33.6186082
"344",559,"Antofagasta","CHL","Antofagasta",251429,-70.3975022,-23.6509279
"345",560,"San Bernardo","CHL","Santiago",241910,-70.6987361,-33.5854485
"346",565,"Talca","CHL","Maule",187557,-71.6484804,-35.4232444
"348",570,"Coquimbo","CHL","Coquimbo",143353,-71.3389183,-29.9590009
"349",571,"Osorno","CHL","Los Lagos",141468,-73.1149469,-40.5761897
"350",572,"La Serena","CHL","Coquimbo",137409,-71.2519374,-29.9026691
"351",573,"Calama","CHL","Antofagasta",137265,-68.9293819,-22.4543923
"352",574,"Valdivia","CHL","Los Lagos",133106,-73.2452103,-39.8195857
"353",575,"Punta Arenas","CHL","Magallanes",125631,-70.9170683,-53.1638329
"354",579,"Ovalle","CHL","Coquimbo",94854,-71.1969882,-30.604304
"355",582,"Melipilla","CHL","Santiago",91056,-71.2166838,-33.6861588
"356",583,"Avarua","COK","Rarotonga",11900,-159.7823059,-21.2129007
"357",585,"Djibouti","DJI","Djibouti",383000,42.590275,11.825138
"358",586,"Roseau","DMA","St George",16243,-95.762766,48.8460926
"359",588,"Santiago de los Caballeros","DOM","Santiago",365463,-70.6930568,19.4791963
"360",589,"La Romana","DOM","La Romana",140204,-68.9658817,18.4338645
"361",592,"San Felipe de Puerto Plata","DOM","Puerto Plata",89423,-70.6871091,19.7807686
"363",594,"Quito","ECU","Pichincha",1573458,-78.4678382,-0.1806532
"364",595,"Cuenca","ECU","Azuay",270353,-79.0058965,-2.9001285
"365",596,"Machala","ECU","El Oro",210368,-79.9553924,-3.2581112
"366",597,"Santo Domingo de los Colorados","ECU","Pichincha",202111,-79.1774268,-0.2389045
"367",599,"Ambato","ECU","Tungurahua",169612,-78.6228504,-1.2543408
"369",602,"Ibarra","ECU","Imbabura",130643,-78.1222336,0.3391763
"370",604,"Milagro","ECU","Guayas",124177,-95.9762767,36.0716801
"371",605,"Loja","ECU","Loja",123875,-79.2112769,-4.0078909
"374",609,"Alexandria","EGY","Aleksandria",3328196,29.9187387,31.2000924
"378",613,"Suez","EGY","Suez",417610,32.5498069,29.9668343
"380",615,"Tanta","EGY","al-Gharbiya",371010,-87.6320197,41.8918552
"381",616,"al-Mansura","EGY","al-Daqahliya",369621,31.3784704,31.0409483
"382",617,"Luxor","EGY","Luxor",360503,-115.1760672,36.09551
"383",618,"Asyut","EGY","Asyut",343498,31.1859257,27.1783117
"384",619,"Bahtim","EGY","al-Qalyubiya",275807,31.2712203,30.1357386
"385",620,"Zagazig","EGY","al-Sharqiya",267351,31.5040656,30.5765383
"386",621,"al-Faiyum","EGY","al-Faiyum",260964,30.8428497,29.3084021
"387",622,"Ismailia","EGY","Ismailia",254477,32.2714587,30.5964923
"388",623,"Kafr al-Dawwar","EGY","al-Buhayra",231978,30.1327813,31.1356648
"389",624,"Assuan","EGY","Assuan",219017,32.8998293,24.088938
"390",625,"Damanhur","EGY","al-Buhayra",212203,7.7478071,45.417626
"391",626,"al-Minya","EGY","al-Minya",201360,30.7618397,28.0870967
"392",627,"Bani Suwayf","EGY","Bani Suwayf",172032,31.0993845,29.0661274
"393",628,"Qina","EGY","Qina",171275,32.2200065,26.0513299
"394",629,"Sawhaj","EGY","Sawhaj",170125,31.7651362,26.501348
"395",630,"Shibin al-Kawm","EGY","al-Minufiya",159909,31.0079484,30.5604564
"397",632,"Banha","EGY","al-Qalyubiya",145792,31.1848307,30.4659929
"399",634,"Kafr al-Shaykh","EGY","Kafr al-Shaykh",124819,30.9419751,31.1063198
"400",635,"Mallawi","EGY","al-Minya",119283,30.8396598,27.7327603
"401",636,"Bilbays","EGY","al-Sharqiya",113608,31.5621184,30.4158383
"402",637,"Mit Ghamr","EGY","al-Daqahliya",101801,31.2607731,30.7148574
"403",638,"al-Arish","EGY","Shamal Sina",100447,33.8032762,31.132093
"404",639,"Talkha","EGY","al-Daqahliya",97700,31.380243,31.0549151
"406",641,"Jirja","EGY","Sawhaj",95400,31.8875679,26.3418755
"407",642,"Idfu","EGY","Qina",94200,32.8758199,24.978548
"408",643,"al-Hawamidiya","EGY","Giza",91700,35.95755,34.715382
"409",644,"Disuq","EGY","Kafr al-Shaykh",91300,30.6460377,31.1340963
"410",645,"San Salvador","SLV","San Salvador",415346,-89.2181911,13.6929403
"411",646,"Santa Ana","SLV","Santa Ana",139389,-117.867653,33.7454725
"412",647,"Mejicanos","SLV","San Salvador",138800,-89.2134345,13.7334639
"413",648,"Soyapango","SLV","San Salvador",129800,-89.1372527,13.710045
"414",649,"San Miguel","SLV","San Miguel",127696,-100.745235,20.9144491
"415",650,"Nueva San Salvador","SLV","La Libertad",98400,-89.2894733,13.6757837
"416",651,"Apopa","SLV","San Salvador",88800,-89.1801225,13.8086742
"417",652,"Asmara","ERI","Maekel",431000,38.9250517,15.3228767
"418",653,"Madrid","ESP","Madrid",2879052,-3.7037902,40.4167754
"419",654,"Barcelona","ESP","Katalonia",1503451,2.1734035,41.3850639
"420",655,"Valencia","ESP","Valencia",739412,-0.3762881,39.4699075
"421",656,"Sevilla","ESP","Andalusia",701927,-5.9844589,37.3890924
"422",657,"Zaragoza","ESP","Aragonia",603367,-0.8890853,41.6488226
"423",659,"Bilbao","ESP","Baskimaa",357589,-2.9349852,43.2630126
