"","ID","Name","CountryCode","District","Population","lon","lat"
"662",933,"Tegucigalpa","HND","Distrito Central",813900,-87.192136,14.0722751
"663",936,"Kowloon and New Kowloon","HKG","Kowloon and New Kowl",1987996,114.1796057,22.3185673
"664",937,"Victoria","HKG","Hongkong",1312637,144.7851531,-37.4713077
"665",939,"Jakarta","IDN","Jakarta Raya",9604900,106.8650395,-6.17511
"666",940,"Surabaya","IDN","East Java",2663820,112.7520883,-7.2574719
"667",941,"Bandung","IDN","West Java",2429000,107.6191228,-6.9174639
"669",943,"Palembang","IDN","Sumatera Selatan",1222764,104.7754307,-2.9760735
"670",944,"Tangerang","IDN","West Java",1198300,106.6527099,-6.2023936
"671",945,"Semarang","IDN","Central Java",1104405,110.4381254,-7.0051453
"673",947,"Malang","IDN","East Java",716862,112.6326321,-7.9666204
"674",948,"Bandar Lampung","IDN","Lampung",680332,105.2667887,-5.3971396
"675",949,"Bekasi","IDN","West Java",644300,106.9755726,-6.2382699
"676",950,"Padang","IDN","Sumatera Barat",534474,100.417181,-0.9470832
"677",951,"Surakarta","IDN","Central Java",518600,110.8243272,-7.5754887
"680",954,"Denpasar","IDN","Bali",435000,115.2126293,-8.6704582
"681",955,"Yogyakarta","IDN","Yogyakarta",418944,110.3694896,-7.7955798
"682",956,"Pontianak","IDN","Kalimantan Barat",409632,109.3425039,-0.0263303
"683",957,"Samarinda","IDN","Kalimantan Timur",399175,117.1436154,-0.4948232
"684",958,"Jambi","IDN","Jambi",385201,102.4380581,-1.4851831
"685",959,"Depok","IDN","West Java",365200,106.7942405,-6.4024844
"686",960,"Cimahi","IDN","West Java",344600,107.5413039,-6.8840816
"687",961,"Balikpapan","IDN","Kalimantan Timur",338752,116.8528526,-1.2379274
"688",962,"Manado","IDN","Sulawesi Utara",332288,124.8420794,1.4748305
"691",965,"Tegal","IDN","Central Java",289744,109.1255917,-6.8797041
"692",966,"Bogor","IDN","West Java",285114,106.8060388,-6.5971469
"693",967,"Ciputat","IDN","West Java",270800,106.7175669,-6.3077057
"694",968,"Pondokgede","IDN","West Java",263200,106.9299579,-6.2700246
"695",969,"Cirebon","IDN","West Java",254406,108.5523164,-6.7320229
"696",970,"Kediri","IDN","East Java",253760,112.0178286,-7.8480156
"697",971,"Ambon","IDN","Molukit",249312,128.1907723,-3.6553932
"698",972,"Jember","IDN","East Java",218500,113.6680747,-8.1844859
"699",973,"Cilacap","IDN","Central Java",206900,108.902683,-7.6178096
"700",974,"Cimanggis","IDN","West Java",205100,106.8591387,-6.3644564
"701",975,"Pematang Siantar","IDN","Sumatera Utara",203056,99.0681668,2.970042
"703",977,"Ciomas","IDN","West Java",187400,106.7656825,-6.6019425
"704",978,"Tasikmalaya","IDN","West Java",179800,108.2171633,-7.3505808
"705",979,"Madiun","IDN","East Java",171532,111.5300159,-7.6310587
"708",982,"Banda Aceh","IDN","Aceh",143409,95.3237559,5.5482904
"709",983,"Palu","IDN","Sulawesi Tengah",142800,119.8779987,-0.9002915
"710",984,"Pasuruan","IDN","East Java",134019,112.8999225,-7.6469193
"712",986,"Tebing Tinggi","IDN","Sumatera Utara",129300,99.1566855,3.3262879
"713",987,"Percut Sei Tuan","IDN","Sumatera Utara",129000,98.770147,3.6396672
"714",988,"Binjai","IDN","Sumatera Utara",127222,98.5025286,3.6135482
"716",990,"Waru","IDN","East Java",124300,-86.0405117,40.7652285
"719",993,"Blitar","IDN","East Java",122600,112.1609056,-8.0954627
"720",994,"Serang","IDN","West Java",122400,106.1639749,-6.1103661
"721",995,"Probolinggo","IDN","East Java",120770,113.2037131,-7.7764226
"723",997,"Cianjur","IDN","West Java",114300,107.1425442,-6.8168237
"726",1000,"Taman","IDN","East Java",107000,36.791111,45.185556
"727",1001,"Depok","IDN","Yogyakarta",106800,106.7942405,-6.4024844
"728",1002,"Citeureup","IDN","West Java",105100,106.9004472,-6.5322491
"729",1003,"Pemalang","IDN","Central Java",103500,109.4259114,-7.0599422
"730",1004,"Klaten","IDN","Central Java",103300,110.6645683,-7.657893
"732",1006,"Cibinong","IDN","West Java",101300,106.8306951,-6.4901067
"733",1007,"Palangka Raya","IDN","Kalimantan Tengah",99693,113.913977,-2.2161048
"734",1008,"Mojokerto","IDN","East Java",96626,112.4401329,-7.4704747
"735",1009,"Purwakarta","IDN","West Java",95900,107.4462717,-6.5406665
"736",1010,"Garut","IDN","West Java",95800,107.9235563,-7.251216
"737",1011,"Kudus","IDN","Central Java",95300,110.8791343,-6.7726186
"738",1012,"Kendari","IDN","Sulawesi Tenggara",94800,122.5129742,-3.9984597
"740",1014,"Gorontalo","IDN","Sulawesi Utara",94058,122.4467238,0.6999372
"741",1015,"Majalaya","IDN","West Java",93200,107.7458559,-7.0517978
"742",1016,"Pondok Aren","IDN","West Java",92700,106.6974924,-6.2845749
"743",1017,"Jombang","IDN","East Java",92600,112.28609,-7.5740867
"744",1018,"Sunggal","IDN","Sumatera Utara",92300,98.6215649,3.5759525
"745",1019,"Batam","IDN","Riau",91871,104.0304535,1.0456264
"746",1020,"Padang Sidempuan","IDN","Sumatera Utara",91200,99.2730146,1.3721801
"747",1021,"Sawangan","IDN","West Java",91100,106.7647475,-6.4085961
"748",1022,"Banyuwangi","IDN","East Java",89900,114.3691416,-8.2190944
"749",1023,"Tanjung Pinang","IDN","Riau",89900,104.4665072,0.9185504
"750",1024,"Mumbai (Bombay)","IND","Maharashtra",10500000,72.8776559,19.0759837
"751",1025,"Delhi","IND","Delhi",7206704,77.1024902,28.7040592
"752",1026,"Calcutta [Kolkata]","IND","West Bengali",4399819,88.363895,22.572646
"753",1027,"Chennai (Madras)","IND","Tamil Nadu",3841396,80.2707184,13.0826802
"754",1028,"Hyderabad","IND","Andhra Pradesh",2964638,78.486671,17.385044
"755",1029,"Ahmedabad","IND","Gujarat",2876710,72.5713621,23.022505
"757",1031,"Kanpur","IND","Uttar Pradesh",1874409,80.3318736,26.449923
"758",1032,"Nagpur","IND","Maharashtra",1624752,79.0881546,21.1458004
"759",1033,"Lucknow","IND","Uttar Pradesh",1619115,80.946166,26.8466937
"760",1034,"Pune","IND","Maharashtra",1566651,73.8567437,18.5204303
"761",1035,"Surat","IND","Gujarat",1498817,72.8310607,21.1702401
"762",1036,"Jaipur","IND","Rajasthan",1458483,75.7872709,26.9124336
"763",1037,"Indore","IND","Madhya Pradesh",1091674,75.8577258,22.7195687
"764",1038,"Bhopal","IND","Madhya Pradesh",1062771,77.412615,23.2599333
"765",1039,"Ludhiana","IND","Punjab",1042740,75.8572758,30.900965
"767",1041,"Kalyan","IND","Maharashtra",1014557,73.1305395,19.2403305
"769",1043,"Haora (Howrah)","IND","West Bengali",950435,88.2636394,22.5957689
"770",1044,"Varanasi (Benares)","IND","Uttar Pradesh",929270,82.9739144,25.3176452
"771",1045,"Patna","IND","Bihar",917243,85.1375645,25.5940947
"772",1046,"Srinagar","IND","Jammu and Kashmir",892506,74.7972825,34.0836708
"773",1047,"Agra","IND","Uttar Pradesh",891790,78.0080745,27.1766701
"775",1049,"Thane (Thana)","IND","Maharashtra",803389,72.9780897,19.2183307
"776",1050,"Allahabad","IND","Uttar Pradesh",792858,81.846311,25.4358011
"777",1051,"Meerut","IND","Uttar Pradesh",753778,77.7064137,28.9844618
"778",1052,"Vishakhapatnam","IND","Andhra Pradesh",752037,83.2184815,17.6868159
"779",1053,"Jabalpur","IND","Madhya Pradesh",741927,79.9864071,23.181467
"780",1054,"Amritsar","IND","Punjab",708835,74.8722642,31.6339793
"781",1055,"Faridabad","IND","Haryana",703592,77.3177894,28.4089123
"783",1057,"Gwalior","IND","Madhya Pradesh",690765,78.1828308,26.2182871
"784",1058,"Jodhpur","IND","Rajasthan",666279,73.0243094,26.2389469
"785",1059,"Nashik (Nasik)","IND","Maharashtra",656925,73.7898023,19.9974533
"787",1061,"Solapur (Sholapur)","IND","Maharashtra",604215,75.9063906,17.6599188
"788",1062,"Ranchi","IND","Jharkhand",599306,85.309562,23.3440997
"789",1063,"Bareilly","IND","Uttar Pradesh",587211,79.4304381,28.3670355
"790",1064,"Guwahati (Gauhati)","IND","Assam",584342,91.7362365,26.1445169
"791",1065,"Shambajinagar (Aurangabad)","IND","Maharashtra",573272,75.3186241,19.9114575
"793",1067,"Rajkot","IND","Gujarat",559407,70.8021599,22.3038945
"794",1068,"Kota","IND","Rajasthan",537371,75.9927652,25.0869886
"796",1070,"Pimpri-Chinchwad","IND","Maharashtra",517083,73.7997094,18.6297811
"797",1071,"Jalandhar (Jullundur)","IND","Punjab",509510,75.5761829,31.3260152
"798",1072,"Gorakhpur","IND","Uttar Pradesh",505566,75.6702647,29.4438165
"799",1073,"Chandigarh","IND","Chandigarh",504094,76.7794179,30.7333148
"800",1074,"Mysore","IND","Karnataka",480692,76.6393805,12.2958104
"801",1075,"Aligarh","IND","Uttar Pradesh",480520,78.0880129,27.8973944
"802",1076,"Guntur","IND","Andhra Pradesh",471051,80.4365402,16.3066525
"803",1077,"Jamshedpur","IND","Jharkhand",460577,86.2028754,22.8045665
"804",1078,"Ghaziabad","IND","Uttar Pradesh",454156,77.4537578,28.6691565
"805",1079,"Warangal","IND","Andhra Pradesh",447657,79.5940544,17.9689008
"806",1080,"Raipur","IND","Chhatisgarh",438639,81.6296413,21.2513844
"807",1081,"Moradabad","IND","Uttar Pradesh",429214,78.7733286,28.8386481
"808",1082,"Durgapur","IND","West Bengali",425836,87.3119227,23.5204443
"809",1083,"Amravati","IND","Maharashtra",421576,77.7795513,20.9374238
"810",1084,"Calicut (Kozhikode)","IND","Kerala",419831,75.78041,11.2587531
"811",1085,"Bikaner","IND","Rajasthan",416289,73.3119159,28.0229348
"812",1086,"Bhubaneswar","IND","Orissa",411542,85.8245398,20.2960587
"813",1087,"Kolhapur","IND","Maharashtra",406370,74.2432527,16.7049873
"814",1088,"Kataka (Cuttack)","IND","Orissa",403418,85.8829895,20.462521
"815",1089,"Ajmer","IND","Rajasthan",402700,74.6399163,26.4498954
"816",1090,"Bhavnagar","IND","Gujarat",402338,72.1519304,21.7644725
"817",1091,"Tiruchirapalli","IND","Tamil Nadu",387223,78.7046725,10.7904833
"818",1092,"Bhilai","IND","Chhatisgarh",386159,81.3509416,21.1938475
"819",1093,"Bhiwandi","IND","Maharashtra",379070,73.0482912,19.2812547
"820",1094,"Saharanpur","IND","Uttar Pradesh",374945,77.5510172,29.967079
"821",1095,"Ulhasnagar","IND","Maharashtra",369077,73.1644628,19.2215115
"823",1097,"Ujjain","IND","Madhya Pradesh",362266,75.7849097,23.1793013
"824",1098,"Malegaon","IND","Maharashtra",342595,74.5100291,20.5547497
"825",1099,"Jamnagar","IND","Gujarat",341637,70.05773,22.4707019
"827",1101,"Akola","IND","Maharashtra",328034,-96.7881765,32.8491903
"828",1102,"Belgaum","IND","Karnataka",326399,74.4976741,15.8496953
"831",1105,"Udaipur","IND","Rajasthan",308571,73.712479,24.585445
"833",1107,"Bhatpara","IND","West Bengali",304952,88.406454,22.8562412
"834",1108,"Gulbarga","IND","Karnataka",304099,76.8342957,17.329731
"835",1109,"New Delhi","IND","Delhi",301297,77.2090212,28.6139391
"836",1110,"Jhansi","IND","Uttar Pradesh",300850,78.5684594,25.4484257
"837",1111,"Gaya","IND","Bihar",291675,85.0002336,24.7913957
"838",1112,"Kakinada","IND","Andhra Pradesh",279980,82.2474648,16.9890648
"840",1114,"Panihati","IND","West Bengali",275990,88.3991789,22.6983108
"841",1115,"Nanded (Nander)","IND","Maharashtra",275083,77.3209555,19.1382514
"842",1116,"Mangalore","IND","Karnataka",273304,74.8559568,12.9141417
"844",1118,"Kamarhati","IND","West Bengali",266889,88.3706491,22.6846668
"845",1119,"Davangere","IND","Karnataka",266082,75.921758,14.4644085
"846",1120,"Asansol","IND","West Bengali",262188,86.9523954,23.6739452
"847",1121,"Bhagalpur","IND","Bihar",253225,86.9824288,25.3478004
"848",1122,"Bellary","IND","Karnataka",245391,76.9214428,15.1393932
"849",1123,"Barddhaman (Burdwan)","IND","West Bengali",245079,87.8614793,23.2324214
"850",1124,"Rampur","IND","Uttar Pradesh",243742,79.0249516,28.7893041
"851",1125,"Jalgaon","IND","Maharashtra",242193,75.5626039,21.0076578
"852",1126,"Muzaffarpur","IND","Bihar",241107,85.3647201,26.1208876
"853",1127,"Nizamabad","IND","Andhra Pradesh",241034,78.0940867,18.6725047
"854",1128,"Muzaffarnagar","IND","Uttar Pradesh",240609,77.7085091,29.4726817
"855",1129,"Patiala","IND","Punjab",238368,76.3868797,30.3397809
"856",1130,"Shahjahanpur","IND","Uttar Pradesh",237713,79.9122455,27.883744
"857",1131,"Kurnool","IND","Andhra Pradesh",236800,78.0372792,15.8281257
"858",1132,"Tiruppur (Tirupper)","IND","Tamil Nadu",235661,77.3410656,11.1085242
"859",1133,"Rohtak","IND","Haryana",233400,76.606611,28.8955152
"860",1134,"South Dum Dum","IND","West Bengali",232811,88.3967536,22.6059435
"861",1135,"Mathura","IND","Uttar Pradesh",226691,77.673673,27.4924134
"862",1136,"Chandrapur","IND","Maharashtra",226105,79.3014845,19.9704597
"863",1137,"Barahanagar (Baranagar)","IND","West Bengali",224821,88.3654386,22.6383016
"864",1138,"Darbhanga","IND","Bihar",218391,85.896004,26.111868
"865",1139,"Siliguri (Shiliguri)","IND","West Bengali",216950,88.3952861,26.7271012
"866",1140,"Raurkela","IND","Orissa",215489,84.8535844,22.260423
"867",1141,"Ambattur","IND","Tamil Nadu",215424,80.1480551,13.1143167
"868",1142,"Panipat","IND","Haryana",215218,76.9635023,29.3909464
"869",1143,"Firozabad","IND","Uttar Pradesh",215128,78.3957331,27.1591961
"870",1144,"Ichalkaranji","IND","Maharashtra",214950,74.4560807,16.7090008
"871",1145,"Jammu","IND","Jammu and Kashmir",214737,74.8570259,32.7266016
"872",1146,"Ramagundam","IND","Andhra Pradesh",214384,79.5133701,18.7518652
"874",1148,"Brahmapur","IND","Orissa",210418,84.7940911,19.3149618
"875",1149,"Alwar","IND","Rajasthan",205086,76.6345735,27.5529907
"876",1150,"Pondicherry","IND","Pondicherry",203065,79.8144722,11.9138598
"879",1153,"Tuticorin","IND","Tamil Nadu",199854,78.1348361,8.7641661
"880",1154,"Imphal","IND","Manipur",198535,93.9368439,24.8170111
"881",1155,"Latur","IND","Maharashtra",197408,76.5603828,18.4087934
"882",1156,"Sagar","IND","Madhya Pradesh",195346,78.7378068,23.838805
"884",1158,"Sangli","IND","Maharashtra",193197,74.5814773,16.8523973
"885",1159,"Parbhani","IND","Maharashtra",190255,76.776665,19.2609958
"886",1160,"Nagar Coil","IND","Tamil Nadu",190084,77.4118996,8.1832857
"887",1161,"Bijapur","IND","Karnataka",186939,75.710031,16.8301708
"888",1162,"Kukatpalle","IND","Andhra Pradesh",185378,78.3996441,17.4947934
"890",1164,"Bhilwara","IND","Rajasthan",183965,74.586953,25.321377
"891",1165,"Ratlam","IND","Madhya Pradesh",183375,75.0376325,23.3341696
"892",1166,"Avadi","IND","Tamil Nadu",183215,80.0969511,13.1067448
"893",1167,"Dindigul","IND","Tamil Nadu",182477,77.9802906,10.3673123
"894",1168,"Ahmadnagar","IND","Maharashtra",181339,74.7495916,19.0952075
"896",1170,"Shimoga","IND","Karnataka",179258,75.568101,13.9299299
"897",1171,"Kharagpur","IND","West Bengali",177989,87.2319753,22.34601
"898",1172,"Mira Bhayandar","IND","Maharashtra",175372,72.8543897,19.2952325
"899",1173,"Vellore","IND","Tamil Nadu",175061,79.1324986,12.9165167
"900",1174,"Jalna","IND","Maharashtra",174985,75.8800305,19.8296893
"902",1176,"Anantapur","IND","Andhra Pradesh",174924,77.6005911,14.6818877
"903",1177,"Allappuzha (Alleppey)","IND","Kerala",174666,76.3388484,9.4980667
"904",1178,"Tirupati","IND","Andhra Pradesh",174369,79.4191795,13.6287557
"905",1179,"Karnal","IND","Haryana",173751,76.9904825,29.6856929
"906",1180,"Burhanpur","IND","Madhya Pradesh",172710,76.2224273,21.3193875
"907",1181,"Hisar (Hissar)","IND","Haryana",172677,75.7216527,29.1491875
"908",1182,"Tiruvottiyur","IND","Tamil Nadu",172562,80.3045793,13.1691914
"909",1183,"Mirzapur-cum-Vindhyachal","IND","Uttar Pradesh",169336,82.5036997,25.1577106
"910",1184,"Secunderabad","IND","Andhra Pradesh",167461,78.4982741,17.4399295
"911",1185,"Nadiad","IND","Gujarat",167051,72.8633635,22.6915853
"912",1186,"Dewas","IND","Madhya Pradesh",164364,76.0507949,22.9622672
"913",1187,"Murwara (Katni)","IND","Madhya Pradesh",163431,80.4072255,23.8308453
"914",1188,"Ganganagar","IND","Rajasthan",161482,73.8771901,29.9038399
"916",1190,"Erode","IND","Tamil Nadu",159232,77.7171642,11.3410364
"917",1191,"Machilipatnam (Masulipatam)","IND","Andhra Pradesh",159110,81.1361543,16.1905457
"918",1192,"Bhatinda (Bathinda)","IND","Punjab",159042,74.9454745,30.210994
"919",1193,"Raichur","IND","Karnataka",157551,77.3439283,16.2120031
"920",1194,"Agartala","IND","Tripura",157358,91.2867777,23.831457
"921",1195,"Arrah (Ara)","IND","Bihar",157082,84.6603307,25.5560443
"922",1196,"Satna","IND","Madhya Pradesh",156630,80.8322428,24.6005075
"923",1197,"Lalbahadur Nagar","IND","Andhra Pradesh",155500,78.5522296,17.3457176
"924",1198,"Aizawl","IND","Mizoram",155240,92.7176389,23.727107
"925",1199,"Uluberia","IND","West Bengali",155172,88.1000377,22.4744363
"926",1200,"Katihar","IND","Bihar",154367,87.5718609,25.552048
"928",1202,"Hugli-Chinsurah","IND","West Bengali",151806,88.3919026,22.8858771
"929",1203,"Dhanbad","IND","Jharkhand",151789,86.4303859,23.7956531
"930",1204,"Raiganj","IND","West Bengali",151045,88.1255837,25.6185295
"931",1205,"Sambhal","IND","Uttar Pradesh",150869,78.5717631,28.5903614
"932",1206,"Durg","IND","Chhatisgarh",150645,81.2849169,21.1904494
"934",1208,"Kanchipuram","IND","Tamil Nadu",150100,79.7036402,12.8341735
"935",1209,"North Dum Dum","IND","West Bengali",149965,88.4258483,22.6658076
"936",1210,"Karimnagar","IND","Andhra Pradesh",148583,79.1288412,18.4385553
"937",1211,"Bharatpur","IND","Rajasthan",148519,77.489515,27.216981
"939",1213,"Hardwar (Haridwar)","IND","Uttaranchal",147305,78.1642478,29.9456906
"941",1215,"Morena","IND","Madhya Pradesh",147124,77.9909949,26.4933562
"945",1219,"Khandwa","IND","Madhya Pradesh",145133,76.352571,21.8257334
"950",1224,"Kollam (Quilon)","IND","Kerala",139852,76.6141396,8.8932118
"951",1225,"Kumbakonam","IND","Tamil Nadu",139483,79.3881132,10.9616945
"952",1226,"Ingraj Bazar (English Bazar)","IND","West Bengali",139204,88.1410967,25.0108408
"953",1227,"Timkur","IND","Karnataka",138903,77.1139984,13.3391677
"955",1229,"Serampore","IND","West Bengali",137028,88.3385053,22.748331
"958",1232,"Maunath Bhanjan","IND","Uttar Pradesh",136697,83.5586445,25.9496379
"959",1233,"Adoni","IND","Andhra Pradesh",136182,77.2728368,15.6322227
"960",1234,"Jaunpur","IND","Uttar Pradesh",136062,82.6987002,25.7490034
"961",1235,"Tirunelveli","IND","Tamil Nadu",135825,77.7566523,8.7139126
"962",1236,"Bahraich","IND","Uttar Pradesh",135400,81.5980246,27.5708377
"963",1237,"Gadag Betigeri","IND","Karnataka",134051,75.6380337,15.4324651
"964",1238,"Proddatur","IND","Andhra Pradesh",133914,78.5531577,14.7491864
"965",1239,"Chittoor","IND","Andhra Pradesh",133462,79.1003289,13.217176
"966",1240,"Barrackpur","IND","West Bengali",133265,88.3883455,22.7674278
"967",1241,"Bharuch (Broach)","IND","Gujarat",133102,72.9958748,21.7051358
"968",1242,"Naihati","IND","West Bengali",132701,88.4220324,22.8928724
"969",1243,"Shillong","IND","Meghalaya",131719,91.8932535,25.5787726
"970",1244,"Sambalpur","IND","Orissa",131138,83.9811665,21.4668716
"971",1245,"Junagadh","IND","Gujarat",130484,70.4578768,21.522184
"973",1247,"Rewa","IND","Madhya Pradesh",128981,-82.364862,34.799194
"974",1248,"Gurgaon","IND","Haryana",128608,77.0266383,28.4594965
"975",1249,"Khammam","IND","Andhra Pradesh",127992,80.1514447,17.2472528
"976",1250,"Bulandshahr","IND","Uttar Pradesh",127201,77.8498292,28.406963
"978",1252,"Malkajgiri","IND","Andhra Pradesh",126066,78.5337625,17.4491041
"979",1253,"Midnapore (Medinipur)","IND","West Bengali",125498,87.3214908,22.4308892
"980",1254,"Miraj","IND","Maharashtra",125407,74.6424728,16.8165015
"981",1255,"Raj Nandgaon","IND","Chhatisgarh",125371,81.0302222,21.0971034
"982",1256,"Alandur","IND","Tamil Nadu",125244,80.2006371,12.9974873
"984",1258,"Navadwip","IND","West Bengali",125037,88.3676393,23.4036446
"985",1259,"Sirsa","IND","Haryana",125000,75.0177029,29.5335931
"986",1260,"Korba","IND","Chhatisgarh",124501,82.7500595,22.3594501
"987",1261,"Faizabad","IND","Uttar Pradesh",124437,82.1441643,26.7732476
"988",1262,"Etawah","IND","Uttar Pradesh",124072,79.0046898,26.8117116
"989",1263,"Pathankot","IND","Punjab",123930,75.6421121,32.2643375
"990",1264,"Gandhinagar","IND","Gujarat",123359,72.6369415,23.2156354
"992",1266,"Veraval","IND","Gujarat",123000,70.3628516,20.9158979
"993",1267,"Hoshiarpur","IND","Punjab",122705,75.911483,31.5143178
"994",1268,"Ambala","IND","Haryana",122596,76.7766974,30.3781788
"997",1271,"Cuddapah","IND","Andhra Pradesh",121463,78.8241339,14.4673541
"998",1272,"Bhimavaram","IND","Andhra Pradesh",121314,81.521241,16.544893
"1002",1276,"Dibrugarh","IND","Assam",120127,94.9119621,27.4728327
"1003",1277,"Nandyal","IND","Andhra Pradesh",119813,78.4830934,15.4785694
"1004",1278,"Balurghat","IND","West Bengali",119796,88.7830612,25.2372834
"1005",1279,"Neyveli","IND","Tamil Nadu",118080,79.4760133,11.5432364
"1006",1280,"Fatehpur","IND","Uttar Pradesh",117675,80.8986502,25.8499808
"1007",1281,"Mahbubnagar","IND","Andhra Pradesh",116833,78.0081221,16.7375089
"1008",1282,"Budaun","IND","Uttar Pradesh",116695,79.1271229,28.0311101
"1009",1283,"Porbandar","IND","Gujarat",116671,69.6292654,21.6417069
"1010",1284,"Silchar","IND","Assam",115483,92.7789054,24.8332708
"1011",1285,"Berhampore (Baharampur)","IND","West Bengali",115144,88.2679264,24.0988265
"1012",1286,"Purnea (Purnia)","IND","Jharkhand",114912,87.4752551,25.7771391
"1013",1287,"Bankura","IND","West Bengali",114876,87.0624261,23.164543
"1014",1288,"Rajapalaiyam","IND","Tamil Nadu",114202,77.5275463,9.4653377
"1016",1290,"Halisahar","IND","West Bengali",114028,88.4193259,22.9441261
"1017",1291,"Hathras","IND","Uttar Pradesh",113285,78.0537813,27.6056212
"1018",1292,"Bhir (Bid)","IND","Maharashtra",112434,75.7600785,18.9890893
"1019",1293,"Pallavaram","IND","Tamil Nadu",111866,80.1526888,12.9673484
"1020",1294,"Anand","IND","Gujarat",110266,72.928871,22.5645175
"1021",1295,"Mango","IND","Jharkhand",110024,-73.9636357,41.5022347
"1022",1296,"Santipur","IND","West Bengali",109956,88.4380966,23.2645399
"1023",1297,"Bhind","IND","Madhya Pradesh",109755,78.7872876,26.5587354
"1024",1298,"Gondiya","IND","Maharashtra",109470,80.2209773,21.4624491
"1025",1299,"Tiruvannamalai","IND","Tamil Nadu",109196,79.0746957,12.2252841
"1026",1300,"Yeotmal (Yavatmal)","IND","Maharashtra",108578,78.1204073,20.3887937
"1027",1301,"Kulti-Barakar","IND","West Bengali",108518,86.8181378,23.7392879
"1028",1302,"Moga","IND","Punjab",108304,-89.8079106,35.0897589
"1029",1303,"Shivapuri","IND","Madhya Pradesh",108277,85.3847015,27.8120772
"1030",1304,"Bidar","IND","Karnataka",108016,77.5046101,17.9148799
"1031",1305,"Guntakal","IND","Andhra Pradesh",107592,77.3736238,15.1674091
"1032",1306,"Unnao","IND","Uttar Pradesh",107425,80.4878195,26.5393449
"1033",1307,"Barasat","IND","West Bengali",107365,88.480552,22.7228159
"1034",1308,"Tambaram","IND","Tamil Nadu",107187,80.1274558,12.9229153
"1035",1309,"Abohar","IND","Punjab",107163,74.1993043,30.1452928
"1036",1310,"Pilibhit","IND","Uttar Pradesh",106605,79.8128649,28.6207939
"1038",1312,"Gonda","IND","Uttar Pradesh",106078,81.9534815,27.0374187
"1039",1313,"Surendranagar","IND","Gujarat",105973,71.6673352,22.7738938
"1040",1314,"Qutubullapur","IND","Andhra Pradesh",105380,78.4622467,17.4979684
"1042",1316,"Hindupur","IND","Andhra Pradesh",104651,77.4988753,13.8185378
"1043",1317,"Gandhidham","IND","Gujarat",104585,70.133673,23.075297
"1044",1318,"Haldwani-cum-Kathgodam","IND","Uttaranchal",104195,79.5129767,29.2182644
"1045",1319,"Tellicherry (Thalassery)","IND","Kerala",103579,75.4928777,11.7532878
"1047",1321,"Rishra","IND","West Bengali",102649,88.3287896,22.7244023
"1048",1322,"Bhuj","IND","Gujarat",102176,69.6669324,23.2419997
"1049",1323,"Modinagar","IND","Uttar Pradesh",101660,77.5779592,28.8316307
"1050",1324,"Gudivada","IND","Andhra Pradesh",101656,80.9926327,16.4410255
"1051",1325,"Basirhat","IND","West Bengali",101409,88.8671766,22.6574017
"1053",1327,"Ongole","IND","Andhra Pradesh",100836,80.049922,15.5057232
"1054",1328,"North Barrackpur","IND","West Bengali",100513,88.367179,22.7902358
"1057",1331,"Habra","IND","West Bengali",100223,-117.946137,33.9318591
"1058",1332,"Kanchrapara","IND","West Bengali",100194,88.4335019,22.944101
"1059",1333,"Tonk","IND","Rajasthan",100079,75.7894716,26.1620402
"1062",1336,"Pudukkottai","IND","Tamil Nadu",98619,78.8208454,10.379663
"1064",1338,"Hazaribag","IND","Jharkhand",97712,85.3691068,23.9966213
"1066",1340,"Banda","IND","Uttar Pradesh",97227,80.3380213,25.4796224
"1067",1341,"Godhra","IND","Gujarat",96813,73.6142795,22.7788044
"1069",1343,"Ashoknagar-Kalyangarh","IND","West Bengali",96315,88.6316982,22.8333356
"1070",1344,"Achalpur","IND","Maharashtra",96216,77.5086754,21.257584
"1072",1346,"Mandasor","IND","Madhya Pradesh",95758,75.0692952,24.076836
"1073",1347,"Damoh","IND","Madhya Pradesh",95661,79.4421731,23.8380986
"1074",1348,"Satara","IND","Maharashtra",95133,74.018261,17.6804639
"1075",1349,"Meerut Cantonment","IND","Uttar Pradesh",94876,77.6994612,29.0013504
"1076",1350,"Dehri","IND","Bihar",94526,84.1909841,24.9277351
"1077",1351,"Delhi Cantonment","IND","Delhi",94326,77.1587375,28.5961279
"1078",1352,"Chhindwara","IND","Madhya Pradesh",93731,78.9381729,22.057437
"1079",1353,"Bansberia","IND","West Bengali",93447,88.3967536,22.9633531
"1080",1354,"Nagaon","IND","Assam",93350,92.6840426,26.3463713
"1081",1355,"Kanpur Cantonment","IND","Uttar Pradesh",93109,80.3714326,26.4418399
"1082",1356,"Vidisha","IND","Madhya Pradesh",92917,77.8081363,23.5251102
"1083",1357,"Bettiah","IND","Bihar",92583,84.5169757,26.8028048
"1084",1358,"Purulia","IND","Jharkhand",92574,86.365208,23.3320779
"1085",1359,"Hassan","IND","Karnataka",90803,76.1783739,13.0752578
"1086",1360,"Ambala Sadar","IND","Haryana",90712,76.8378042,30.3354758
"1087",1361,"Baidyabati","IND","West Bengali",90601,88.3190717,22.795783
"1088",1362,"Morvi","IND","Gujarat",90357,70.8236195,22.8119895
"1089",1363,"Raigarh","IND","Chhatisgarh",89166,83.3949632,21.8974003
"1090",1364,"Vejalpur","IND","Gujarat",89053,73.5626805,22.6898334
"1091",1365,"Baghdad","IRQ","Baghdad",4336000,44.3614875,33.3128057
